股票简称	申购简称	转债简称
山东赫达	山东赫达	None
华锋股份	华锋股份	华锋转债
青岛双星	青岛双星	None
韶能股份	韶能股份	None
西安旅游	不详	None
启迪药业	湘中药A	None
和科达	和科达	None
上峰水泥	不详	None
和胜股份	和胜股份	None
哈工智能	不详	None
德龙汇能	不详	None
北部湾港	不详	北港转债
纳尔股份	纳尔股份	None
风华高科	风华高科	None
名雕股份	名雕股份	None
江阴银行	江阴银行	江银转债
东北制药	东北药	None
凯中精密	凯中精密	凯中转债
可立克	可立克	None
英维克	英维克	None
黄山胶囊	黄山胶囊	None
建投能源	国际大厦	None
顺发恒业	长春兰宝	None
中装建设	中装建设	中装转2
银宝山新	银宝山新	None
华媒控股	不详	None
盛达资源	不详	None
丰元股份	丰元股份	None
珠海中富	不详	None
金岭矿业	不详	None
贝肯能源	贝肯能源	None
丰乐种业	丰乐种业	None
焦作万方	不详	None
中钨高新	金海股份	None
国城矿业	不详	国城转债
崇达技术	崇达技术	崇达转2
奥园美谷	湖北金环	None
亚太实业	海南寰岛	None
英力特	不详	None
弘亚数控	弘亚数控	弘亚转债
凯莱英	凯莱英	None
中兴商业	中兴商业	None
永安林业	不详	None
*ST当代	大同水泥	None
易明医药	易明医药	None
渤海股份	不详	None
贵州轮胎	黔轮胎A	贵轮转债
大连友谊	大连友谊	None
新宏泽	新宏泽	None
*ST万方	中辽国际	None
中迪投资	燕化高新	None
广发证券	不详	None
恒天海龙	不详	None
经纬纺机	不详	None
东北证券	锦州六陆	None
泰达股份	不详	None
国元证券	北京化二	None
华闻集团	燃气股份	None
华讯退	保定天鹅	None
星网宇达	星网宇达	None
裕同科技	裕同科技	None
冰轮环境	不详	None
湖北广电	不详	湖广转债
沈阳化工	沈阳化工	None
粤桂股份	贵糖股份	None
京蓝科技	龙发股份	None
阳光股份	广西虎威	None
中原传媒	不详	None
宝新能源	不详	None
恒逸石化	不详	恒逸转债
中山公用	佛山兴华	None
比音勒芬	比音勒芬	None
鲁泰A	鲁泰A	鲁泰转债
双环科技	湖北双环	None
黑芝麻	广西斯壮	None
酒鬼酒	不详	None
湖南发展	不详	None
五矿稀土	关铝股份	None
五粮液	五粮液	None
厦门港务	厦门路桥	None
甘肃电投	西北化工	None
亚钾国际	广州冷机	None
航发控制	南方摩托	None
天山股份	天山股份	None
ST北文	京西旅游	None
中信特钢	大冶特钢	中特转债
ST泰禾	福建三农	None
惠天热电	惠天热电	None
浙商中拓	南方建材	None
创维数字	四川锦华	创维转债
中交地产	重庆实业	None
智慧农业	不详	None
德展健康	不详	None
航锦科技	不详	None
韶钢松山	韶钢松山	None
嘉凯城	亚华种业	None
河钢资源	河北宣工	None
新兴铸管	新兴铸管	None
ST国安	中信国安	None
金陵药业	金陵药业	None
新能泰山	不详	None
万年青	江西水泥	万青转债
东莞控股	不详	None
四川美丰	四川美丰	None
太钢不锈	太钢不锈	None
罗牛山	不详	None
ST凯撒	不详	None
新华制药	新华制药	None
张家港行	张家港行	张行转债
西安饮食	不详	None
美利云	美利纸业	None
晋控电力	不详	None
西藏矿业	不详	None
*ST银河	不详	None
富通信息	天大天财	None
云铝股份	不详	None
钧达股份	钧达股份	None
捷荣技术	捷荣技术	None
通化金马	通化金马	None
力盛赛车	力盛赛车	None
超声电子	不详	超声转债
三晖电气	三晖电气	None
石化机械	江钻股份	None
实丰文化	实丰文化	None
钱江摩托	钱江摩托	None
张裕A	张裕Ａ	None
京山轻机	京山轻机	None
中鼎股份	飞彩股份	None
银星能源	吴忠仪表	None
法尔胜	法尔胜	None
云内动力	云内动力	None
国风新材	国风塑业	None
沃顿科技	南方汇通	None
北清环能	不详	None
华特达因	声乐股份	None
泸天化	泸天化	None
佳电股份	阿继电器	None
新希望	新希望	希望转2
北新建材	北新建材	None
景峰医药	天一泵业	None
电广传媒	电广实业	None
现代投资	湖南高速	None
秦川机床	秦川发展	None
天音控股	赣南果业	None
众合科技	浙大辰光	None
赣能股份	赣能股份	None
欢瑞世纪	三爱海陵	None
中粮科技	丰原生化	None
兰州黄河	兰州黄河	None
高鸿股份	中国七砂	None
启迪环境	国投原宜	None
中钢国际	吉林炭素	中钢转债
津滨发展	津滨发展	None
视源股份	视源股份	None
海信家电	科龙电器	None
安凯客车	不详	None
英联股份	英联股份	英联转债
中国铁物	天津汽车	None
紫光股份	清华紫光	None
华统股份	华统股份	华统转债
华茂股份	华茂股份	None
翔鹭钨业	翔鹭钨业	翔鹭转债
金溢科技	金溢科技	None
鞍钢股份	鞍钢新轧	None
瀛通通讯	瀛通通讯	瀛通转债
大亚圣象	大亚股份	None
盐津铺子	盐津铺子	None
香山股份	香山股份	None
伟隆股份	伟隆股份	None
威星智能	威星智能	None
泰嘉股份	泰嘉股份	None
中元股份	中元华电	None
三利谱	三利谱	None
红日药业	红日药业	None
*ST宝德	宝德股份	None
乐普医疗	乐普医疗	乐普转2
欧比特	欧比特	None
三聚环保	三聚环保	None
华力创通	华力创通	None
安科生物	安科生物	None
当升科技	当升科技	None
探路者	探路者	None
台基股份	台基股份	None
安奈儿	安奈儿	None
神州泰岳	神州泰岳	None
南风股份	南风股份	None
长信科技	长信科技	长信转债
鼎汉技术	鼎汉技术	None
万邦达	万邦达	None
华谊兄弟	华谊兄弟	None
万顺新材	万顺股份	万顺转2
钢研高纳	钢研高纳	None
吉峰科技	吉峰农机	None
龙源技术	龙源技术	None
三川智慧	三川股份	None
万讯自控	万讯自控	万讯转债
机器人	机器人	None
中电环保	中电环保	None
向日葵	向日葵	None
易成新能	新大新材	None
智飞生物	智飞生物	None
华平股份	华平股份	None
中能电气	中能电气	None
金刚退	华晶钻石	None
阳谷华泰	阳谷华泰	None
爱尔眼科	爱尔眼科	None
瑞凌股份	瑞凌股份	None
锦富技术	锦富新材	None
康芝药业	康芝药业	None
金利华电	金利华电	None
银之杰	银之杰	None
数字政通	数字政通	None
青松股份	青松股份	None
双林股份	双林股份	None
华谊嘉信	华谊嘉信	None
海默科技	海默科技	None
先河环保	先河环保	None
乾照光电	乾照光电	None
新开源	新开源	None
*ST文化	长城集团	None
中金环境	南方泵业	None
大富科技	大富科技	None
东方财富	东方财富	None
宝利国际	宝利沥青	None
振东制药	振东制药	None
科新机电	科新机电	None
东方日升	东方日升	None
汇川技术	汇川技术	None
派生科技	鸿特精密	None
嘉寓股份	嘉寓股份	None
天晟新材	天晟新材	None
秀强股份	秀强股份	None
聆达股份	易世达	None
万达信息	万达信息	None
建新股份	建新股份	None
和顺电气	和顺电气	None
捷成股份	捷成股份	None
高盟新材	高盟新材	None
新国都	新国都	None
经纬辉开	经纬电材	None
安居宝	安居宝	None
保力新	坚瑞消防	None
沃森生物	沃森生物	None
亚光科技	太阳鸟	None
香雪制药	香雪制药	None
佳士科技	佳士科技	None
雷曼光电	雷曼光电	None
翰宇药业	翰宇药业	None
福能东方	松德股份	None
四方达	四方达	None
天舟文化	天舟文化	None
ST新研	新研股份	None
恒泰艾普	恒泰艾普	None
佐力药业	佐力药业	None
迪威迅	迪威视讯	None
科融环境	燃控科技	None
美亚柏科	美亚柏科	None
天瑞仪器	天瑞仪器	None
汉得信息	汉得信息	汉得转债
银禧科技	银禧科技	None
佳讯飞鸿	佳讯飞鸿	None
舒泰神	舒泰神	None
金信诺	金信诺	None
安科瑞	安科瑞	None
*ST聚龙	聚龙股份	None
天泽信息	天泽信息	None
金运激光	金运激光	None
森远股份	森远股份	None
科大智能	科大智能	None
东方电热	东方电热	None
利亚德	利亚德	利德转债
聚光科技	聚光科技	None
欣旺达	欣旺达	None
慈星股份	慈星股份	None
宝莱特	宝莱特	宝莱转债
宜安科技	宜安科技	None
上海钢联	上海钢联	None
电科院	电科院	None
梅安森	梅安森	None
亿通科技	亿通科技	None
*ST网力	东方网力	None
中国重汽	小鸭电器	None
*ST星星	星星科技	None
富瑞特装	富瑞特装	None
正海磁材	正海磁材	None
三丰智能	三丰智能	None
戴维医疗	戴维医疗	None
光韵达	光韵达	None
鹏翎股份	鹏翎股份	None
阳光电源	阳光电源	None
华昌达	华昌达	None
仟源医药	仟源制药	None
华虹计通	华虹计通	None
裕兴股份	裕兴股份	裕兴转债
广济药业	广济药业	None
开尔新材	开尔新材	None
斯莱克	斯莱克	斯莱转债
天银机电	天银机电	None
银邦股份	银邦股份	None
*ST和佳	和佳股份	None
苏交科	苏交科	None
ST天山	天山生物	None
德威退	德威新材	None
鼎捷软件	鼎捷软件	None
*ST蓝盾	蓝盾股份	蓝盾转债
天玑科技	天玑科技	None
依米康	依米康	None
迪瑞医疗	迪瑞医疗	None
南天信息	南天信息	None
汇中股份	汇中股份	None
冠昊生物	冠昊生物	None
*ST腾信	腾信股份	None
聚飞光电	聚飞光电	聚飞转债
北信源	北信源	None
瑞丰光电	瑞丰光电	None
中文在线	中文在线	None
天保基建	天水股份	None
新乡化纤	新乡化纤	None
新天科技	新天科技	None
开山股份	开山股份	None
东方钽业	东方钽业	None
